datadate,ticker,conm,act,at,capx,ceq,che,cogs,csho,dlc,dlcch,dltis,dltr,dltt,dp,dpact,dv,emp,epsfx,ib,intan,invch,invt,lct,lt,niadj,oancf,oiadp,ppent,pstk,pstkl,pstkr,sale,seq,txditc,xint,xrd,xsga,mkvalt,prcc_f,sic
2010-12-31,AXP,AMERICAN EXPRESS CO,,147042.0,887.0,16230.0,22955.0,22930.0,1197.0,17677.0,1056.0,5918.0,17670.0,52153.0,917.0,4483.0,867.0,61.0,3.35,4057.0,3611.0,0.0,0.0,,130812.0,4006.0,9288.0,6395.0,2905.0,0.0,0.0,0.0,30242.0,16230.0,0.0,1156.0,,,51375.24,42.92,6141
2011-12-31,AXP,AMERICAN EXPRESS CO,,153337.0,1205.0,18794.0,25866.0,23770.0,1164.0,14481.0,-2.0,13982.0,21029.0,48513.0,918.0,4747.0,861.0,62.5,4.09,4899.0,4321.0,0.0,0.0,,134543.0,4877.0,10475.0,7594.0,3367.0,0.0,0.0,0.0,32282.0,18794.0,0.0,1047.0,,,54905.88,47.17,6141
2012-12-31,AXP,AMERICAN EXPRESS CO,,153140.0,1056.0,18886.0,22568.0,24423.0,1105.0,14979.0,-1015.0,13934.0,14076.0,47308.0,991.0,5429.0,902.0,63.5,3.89,4482.0,4174.0,0.0,0.0,,134254.0,4433.0,7082.0,8394.0,3635.0,0.0,0.0,0.0,33808.0,18886.0,0.0,1045.0,,,63515.4,57.48,6141
2013-12-31,AXP,AMERICAN EXPRESS CO,,153375.0,1078.0,19496.0,19991.0,25051.0,1064.0,14870.0,1843.0,11995.0,14763.0,45481.0,1020.0,5978.0,939.0,62.8,4.88,5359.0,4015.0,0.0,0.0,,133879.0,5312.0,8547.0,8861.0,3875.0,0.0,0.0,0.0,34932.0,19496.0,0.0,911.0,,,96536.72,90.73,6141
2014-12-31,AXP,AMERICAN EXPRESS CO,,159103.0,1198.0,20673.0,22849.0,25305.0,1023.0,15559.0,-1374.0,16020.0,12768.0,45876.0,1012.0,6270.0,1041.0,54.0,5.56,5885.0,3878.0,0.0,0.0,,138430.0,5839.0,10990.0,8963.0,3938.0,0.0,750.0,0.0,35280.0,20673.0,0.0,802.0,,,95179.92,93.04,6141
2015-12-31,AXP,AMERICAN EXPRESS CO,,161184.0,1383.0,20673.0,23102.0,24430.0,969.0,11626.0,1395.0,9926.0,19610.0,41247.0,1043.0,6801.0,1172.0,54.8,5.05,5163.0,3545.0,,14992.0,,140511.0,5063.0,10972.0,8968.0,4108.0,0.0,1600.0,0.0,34441.0,20673.0,0.0,736.0,,,67393.95,69.55,6141
2016-12-31,AXP,AMERICAN EXPRESS CO,,158893.0,1377.0,20501.0,25830.0,24654.0,904.0,21305.0,888.0,8824.0,9848.0,31266.0,1095.0,5145.0,1207.0,56.4,5.65,5408.0,3795.0,,0.0,,138392.0,5285.0,8224.0,8074.0,4433.0,0.0,1600.0,0.0,33823.0,20501.0,0.0,785.0,,,,74.08,6141
2017-12-31,AXP,AMERICAN EXPRESS CO,,181159.0,1063.0,18227.0,33552.0,25965.0,859.0,15212.0,-2300.0,32764.0,24082.0,43870.0,1321.0,5455.0,1251.0,55.0,2.97,2736.0,3908.0,0.0,0.0,,162932.0,2634.0,13540.0,8297.0,4329.0,0.0,1600.0,0.0,35583.0,18227.0,0.0,841.0,,,,99.31,6141
2018-12-31,AXP,AMERICAN EXPRESS CO,,188602.0,1311.0,22290.0,29707.0,33021.0,847.0,14415.0,-148.0,21524.0,18895.0,47108.0,1293.0,6015.0,1324.0,59.0,7.91,6921.0,3347.0,0.0,0.0,,166312.0,6787.0,8930.0,8967.0,4416.0,0.0,1600.0,0.0,43281.0,22290.0,0.0,868.0,,,,95.32,6141
2019-12-31,AXP,AMERICAN EXPRESS CO,,198321.0,1688.0,23071.0,30539.0,36250.0,810.0,22057.0,3316.0,12706.0,13850.0,43003.0,1188.0,6562.0,1422.0,64.5,7.99,6759.0,3582.0,0.0,0.0,,175250.0,6631.0,13632.0,9582.0,4834.0,0.0,1600.0,0.0,47020.0,23071.0,0.0,1028.0,,,,124.49,6141
2020-12-31,AXP,AMERICAN EXPRESS CO,,191367.0,1479.0,22984.0,52668.0,31713.0,805.0,13707.0,-4627.0,69.0,15593.0,32227.0,1543.0,7540.0,1474.0,63.7,3.77,3135.0,4117.0,0.0,0.0,,168383.0,3036.0,5591.0,4929.0,5015.0,0.0,1600.0,0.0,38185.0,22984.0,0.0,508.0,,,97332.55,120.91,6141
2009-12-31,AFL,AFLAC INC,,84106.0,0.0,8417.0,3069.0,15887.0,468.568,431.0,,1405.0,560.0,2168.0,60.0,354.0,524.0,8.057,3.19,1497.0,0.0,0.0,0.0,,75689.0,1497.0,6161.0,2290.0,593.0,0.0,0.0,0.0,18237.0,8417.0,1303.0,72.0,,,21671.27,46.25,6321
2010-12-31,AFL,AFLAC INC,,101039.0,0.0,11056.0,4714.0,16938.0,469.661,431.0,,748.0,451.0,2607.0,60.0,409.0,535.0,7.919,4.95,2344.0,0.0,0.0,0.0,,89983.0,2344.0,6989.0,3734.0,620.0,0.0,0.0,0.0,20732.0,11056.0,1702.0,149.0,,,26502.9702,56.43,6321
2011-12-31,AFL,AFLAC INC,,117102.0,0.0,13506.0,5040.0,18924.0,466.31,345.0,,620.0,462.0,2940.0,59.0,446.0,552.0,8.562,4.18,1964.0,0.0,0.0,0.0,,103596.0,1964.0,10842.0,3188.0,617.0,0.0,0.0,0.0,22171.0,13506.0,2273.0,196.0,,,20172.5706,43.26,6321
2012-12-31,AFL,AFLAC INC,,131094.0,0.0,15978.0,9793.0,20741.0,467.786,3.0,,1506.0,341.0,4349.0,60.0,458.0,603.0,8.965,6.11,2866.0,0.0,0.0,0.0,,115116.0,2866.0,14952.0,4563.0,564.0,0.0,0.0,0.0,25364.0,15978.0,3550.0,261.0,,,24848.7923,53.12,6321
2013-12-31,AFL,AFLAC INC,,121307.0,0.0,14620.0,7923.0,18774.0,459.413,326.0,,700.0,0.0,4571.0,56.0,460.0,635.0,9.141,6.76,3158.0,0.0,0.0,0.0,,106687.0,3158.0,10547.0,5109.0,481.0,0.0,0.0,0.0,23939.0,14620.0,2764.0,293.0,,,30688.7884,66.8,6321
2014-12-31,AFL,AFLAC INC,,119767.0,0.0,18347.0,5422.0,17873.0,442.445,428.0,,750.0,335.0,4854.0,47.0,437.0,654.0,9.525,6.5,2951.0,0.0,0.0,0.0,,101420.0,2951.0,6550.0,4808.0,429.0,0.0,0.0,0.0,22728.0,18347.0,4350.0,317.0,,,27028.9651,61.09,6321
2015-12-31,AFL,AFLAC INC,,118296.0,0.0,17708.0,5114.0,16447.0,424.38,203.0,,998.0,1272.0,4808.0,44.0,468.0,656.0,9.915,5.85,2533.0,0.0,0.0,0.0,,100588.0,2533.0,6776.0,4413.0,427.0,0.0,0.0,0.0,20904.0,17708.0,3438.0,289.0,,,25420.362,59.9,6321
2016-12-31,AFL,AFLAC INC,,129819.0,0.0,20482.0,7348.0,18039.0,405.81,655.0,,986.0,610.0,4705.0,48.0,509.0,658.0,10.212,6.42,2659.0,0.0,0.0,0.0,,109337.0,2659.0,5987.0,4287.0,433.0,0.0,0.0,0.0,22374.0,20482.0,5056.0,268.0,,,28244.376,69.6,6321
2017-12-31,AFL,AFLAC INC,,137217.0,0.0,24598.0,4765.0,17304.0,390.455,8.0,,1040.0,1161.0,5281.0,50.0,547.0,661.0,11.318,11.54,4604.0,0.0,0.0,0.0,,112619.0,4604.0,6128.0,4346.0,434.0,0.0,0.0,0.0,21700.0,24598.0,4569.0,240.0,,,34274.1399,87.78,6321
2018-12-31,AFL,AFLAC INC,,140406.0,0.0,23462.0,5530.0,17430.0,755.286,5.0,,1020.0,550.0,5773.0,48.0,581.0,793.0,11.39,3.77,2920.0,0.0,0.0,0.0,,116944.0,2920.0,6014.0,4290.0,443.0,0.0,0.0,0.0,21768.0,23462.0,3497.0,222.0,,,34410.8302,45.56,6321
2019-12-31,AFL,AFLAC INC,,152768.0,0.0,28959.0,6401.0,17594.0,726.793,99.0,,615.0,0.0,6569.0,40.0,609.0,771.0,11.729,4.43,3304.0,140.0,0.0,0.0,,123809.0,3304.0,5455.0,4735.0,581.0,0.0,0.0,0.0,22369.0,28959.0,5414.0,228.0,,,,52.9,6321
2020-12-31,AFL,AFLAC INC,,165086.0,0.0,33559.0,7405.0,17639.0,692.454,25.0,,1545.0,350.0,7899.0,36.0,656.0,769.0,12.003,6.67,4778.0,269.0,0.0,0.0,,131527.0,4778.0,5958.0,5040.0,601.0,0.0,0.0,0.0,22715.0,33559.0,4696.0,242.0,,,,44.47,6321
2009-10-31,ADI,ANALOG DEVICES INC,2490.636,3404.294,56.095,2529.149,1815.973,756.401,291.862,0.0,0.0,370.35,0.0,379.626,139.87,1553.598,232.988,8.3,0.85,247.408,257.736,67.347,253.161,386.613,875.145,247.772,432.148,338.473,476.516,0.0,0.0,0.0,2014.908,2529.149,36.232,4.094,446.98,780.164,7480.4231,25.63,3674
2010-10-31,ADI,ANALOG DEVICES INC,3478.999,4328.831,111.557,3199.717,2687.768,841.17,298.653,0.0,0.0,0.0,0.0,400.635,120.911,1628.88,249.964,8.5,2.33,711.225,256.923,-24.274,277.478,643.467,1129.114,712.084,991.175,916.557,472.665,0.0,0.0,0.0,2761.503,3199.717,1.8,10.429,492.305,882.865,10055.6465,33.67,3674
2011-10-31,ADI,ANALOG DEVICES INC,4386.348,5277.635,122.996,3795.413,3592.462,888.56,297.961,14.5,,515.507,28.392,871.876,118.219,1658.062,281.626,9.2,2.79,860.894,287.287,-17.603,295.081,525.005,1482.222,867.394,900.529,1074.647,478.839,0.0,0.0,0.0,2993.32,3795.413,1.26,19.146,505.57,911.894,10896.4338,36.57,3674
2012-10-31,ADI,ANALOG DEVICES INC,4696.185,5620.347,132.176,4165.359,3900.378,850.308,301.389,14.5,0.0,0.0,56.5,807.098,109.833,1727.284,344.701,9.2,2.13,651.236,312.605,-18.592,313.723,525.079,1454.988,651.236,814.542,833.225,500.867,0.0,0.0,0.0,2701.142,4165.359,1.13,26.422,512.003,907.776,11790.7295,39.1213,3674
2013-10-31,ADI,ANALOG DEVICES INC,5472.425,6381.75,123.074,4739.576,4682.912,830.862,311.045,0.0,,493.88,452.898,872.241,110.416,1784.723,405.955,9.1,2.14,673.487,312.664,28.527,283.337,570.512,1642.174,673.487,912.345,789.456,508.171,0.0,0.0,0.0,2633.689,4739.576,6.037,27.102,513.255,902.955,15334.5185,49.3,3674
2014-10-31,ADI,ANALOG DEVICES INC,3811.886,6859.69,177.913,4757.897,2866.468,918.635,311.205,0.0,0.0,1995.398,1995.398,872.789,141.97,1855.926,454.225,9.6,1.98,629.32,2313.84,24.642,367.927,709.056,2101.793,629.32,871.602,823.545,622.422,0.0,0.0,0.0,2864.773,4757.897,235.791,34.784,559.686,980.623,15441.9921,49.62,3674
2015-10-31,ADI,ANALOG DEVICES INC,4079.548,7062.178,153.96,5072.959,3028.928,1041.908,312.061,374.839,0.0,0.0,0.0,498.497,222.24,1957.985,491.059,9.7,2.2,696.878,2220.043,-35.557,412.314,1113.83,1989.219,696.878,907.798,1064.392,644.11,0.0,0.0,0.0,3435.092,5072.959,227.376,27.03,637.459,1106.552,18761.1073,60.12,3674
2016-10-31,ADI,ANALOG DEVICES INC,4974.863,7970.278,127.397,5165.618,4055.793,1054.569,308.171,0.0,0.0,1235.331,378.156,1732.177,209.79,2040.762,513.18,10.0,2.76,861.664,2228.484,38.221,376.555,782.934,2804.66,861.664,1280.895,1056.203,636.116,0.0,0.0,0.0,3421.409,5165.618,109.931,75.092,653.816,1100.847,19753.7611,64.1,3674
2017-10-31,ADI,ANALOG DEVICES INC,2351.338,21141.294,204.098,10161.54,1047.838,1400.481,368.636,300.0,,11156.164,5050.0,7551.084,584.059,2197.123,602.119,15.3,2.07,727.259,17536.88,-47.354,550.816,1596.332,10979.754,725.016,1112.592,1534.052,1107.304,0.0,0.0,0.0,5107.503,10161.54,1674.683,243.626,968.602,1588.911,33656.4668,91.3,3674
2018-10-31,ADI,ANALOG DEVICES INC,2112.126,20449.779,254.876,10988.54,816.591,1597.479,370.16,67.0,,743.778,2275.0,6265.674,799.063,2373.497,703.307,15.8,3.97,1495.432,17030.796,-34.636,586.76,1406.138,9461.239,1489.523,2442.361,1968.652,1154.328,0.0,0.0,0.0,6200.942,10988.54,927.065,253.589,1165.41,1835.748,30986.0936,83.71,3674
2019-10-31,ADI,ANALOG DEVICES INC,1985.126,21392.641,275.372,11709.188,648.322,1595.105,368.302,299.667,,1325.0,2175.0,5192.252,811.251,2591.268,777.481,16.4,3.65,1363.011,16474.104,-42.771,609.886,1508.632,9683.453,1359.782,2253.1,1806.267,1219.989,0.0,0.0,0.0,5991.065,11709.188,2088.212,229.075,1130.348,1778.442,39272.0423,106.63,3674
2020-10-31,ADI,ANALOG DEVICES INC,2517.688,21468.603,165.692,11997.945,1055.86,1531.11,369.485,39.923,,745.646,1100.0,5433.594,810.923,2765.095,886.155,15.9,3.28,1220.761,15928.705,1.76,608.26,1364.986,9470.658,1220.761,2008.487,1610.679,1377.186,0.0,0.0,0.0,5603.056,11997.945,1919.595,193.305,1050.519,1650.344,43795.0571,118.53,3674
2009-10-31,AMAT,APPLIED MATERIALS INC,5688.947,9574.243,248.427,7094.608,2214.73,3291.599,1340.917,1.24,,0.0,0.75,200.654,291.203,1816.524,319.507,12.619,-0.23,-305.327,1477.348,359.56,1627.457,1939.457,2479.635,-305.327,332.665,-237.828,1090.433,0.0,0.0,0.0,5013.607,7094.608,68.712,21.304,934.115,1668.633,16359.1874,12.2,3559
2010-10-31,AMAT,APPLIED MATERIALS INC,6765.315,10943.345,169.081,7536.113,2584.582,5529.15,1327.998,1.258,,,6.441,204.271,304.515,1905.784,348.522,13.045,0.7,937.866,1623.247,144.626,1547.378,2887.876,3407.232,937.866,1722.853,1629.633,963.004,0.0,0.0,0.0,9548.667,7536.113,74.701,21.507,1143.521,2085.369,16400.7753,12.35,3559
2011-10-31,AMAT,APPLIED MATERIALS INC,10355.0,13861.0,209.0,8800.0,6243.0,5927.0,1306.0,0.0,,1744.0,,1947.0,246.0,1872.0,397.0,12.973,1.45,1926.0,1546.0,-163.0,1701.0,2794.0,5061.0,1926.0,2426.0,2360.0,866.0,0.0,0.0,0.0,10517.0,8800.0,74.0,59.0,1118.0,1984.0,16089.92,12.32,3559
2012-10-31,AMAT,APPLIED MATERIALS INC,5102.0,12102.0,162.0,7235.0,1937.0,4934.0,1197.0,0.0,0.0,,1.0,1946.0,422.0,2007.0,434.0,14.526,0.09,109.0,4873.0,679.0,1272.0,2265.0,4867.0,109.0,1851.0,1170.0,910.0,0.0,0.0,0.0,8719.0,7235.0,200.0,95.0,1237.0,2193.0,12688.2,10.6,3559
2013-10-31,AMAT,APPLIED MATERIALS INC,5642.0,12043.0,197.0,7088.0,1891.0,4134.0,1204.0,0.0,0.0,0.0,0.0,1946.0,410.0,1967.0,456.0,13.7,0.21,256.0,4397.0,-141.0,1413.0,2443.0,4955.0,256.0,623.0,835.0,850.0,0.0,0.0,0.0,7509.0,7088.0,71.0,95.0,1320.0,2130.0,21497.42,17.855,3559
2014-10-31,AMAT,APPLIED MATERIALS INC,6967.0,13174.0,241.0,7868.0,3162.0,4878.0,1221.0,0.0,0.0,0.0,0.0,1947.0,375.0,1987.0,485.0,14.95,0.87,1072.0,4255.0,-154.0,1567.0,2823.0,5306.0,1072.0,1800.0,1598.0,861.0,0.0,0.0,0.0,9072.0,7868.0,32.0,95.0,1428.0,2221.0,26971.89,22.09,3559
2015-10-31,AMAT,APPLIED MATERIALS INC,9261.0,15308.0,215.0,7613.0,4965.0,5326.0,1160.0,1200.0,,2581.0,0.0,3342.0,371.0,2054.0,487.0,15.5,1.12,1377.0,4064.0,-266.0,1833.0,3798.0,7695.0,1377.0,1163.0,1692.0,892.0,0.0,0.0,0.0,9659.0,7613.0,56.0,103.0,1451.0,2270.0,19453.2,16.77,3559
2016-10-31,AMAT,APPLIED MATERIALS INC,8353.0,14588.0,253.0,7217.0,3749.0,5949.0,1078.0,200.0,,0.0,1207.0,3143.0,389.0,2106.0,444.0,16.7,1.54,1721.0,3891.0,-216.0,2050.0,3632.0,7371.0,1721.0,2466.0,2159.0,937.0,0.0,0.0,0.0,10825.0,7217.0,1.0,155.0,1540.0,2328.0,31348.24,29.08,3559
2017-10-31,AMAT,APPLIED MATERIALS INC,12918.0,19419.0,345.0,9349.0,7276.0,7618.0,1060.0,0.0,,2176.0,205.0,5304.0,407.0,2245.0,430.0,18.4,3.17,3434.0,3780.0,-879.0,2930.0,4115.0,10070.0,3434.0,3609.0,3871.0,1066.0,0.0,0.0,0.0,14537.0,9349.0,5.0,198.0,1774.0,2641.0,59815.8,56.43,3559
2018-10-31,AMAT,APPLIED MATERIALS INC,10747.0,17773.0,622.0,6839.0,4030.0,8998.0,967.0,0.0,0.0,0.0,0.0,5309.0,457.0,2405.0,605.0,21.0,3.23,3313.0,3581.0,-792.0,3722.0,4068.0,10934.0,3313.0,3787.0,4801.0,1407.0,0.0,0.0,0.0,17253.0,6839.0,12.0,234.0,2019.0,2997.0,31794.96,32.88,3559
2019-10-31,AMAT,APPLIED MATERIALS INC,10206.0,19024.0,441.0,8214.0,3618.0,7859.0,916.0,600.0,0.0,0.0,0.0,4713.0,363.0,2542.0,771.0,22.0,2.86,2706.0,3555.0,248.0,3474.0,4447.0,10810.0,2706.0,3247.0,3372.0,1529.0,0.0,0.0,0.0,14608.0,8214.0,11.0,237.0,2054.0,3014.0,49702.16,54.26,3559
2020-10-31,AMAT,APPLIED MATERIALS INC,13369.0,22353.0,422.0,10578.0,5738.0,9130.0,914.0,64.0,,2979.0,2882.0,5643.0,376.0,2776.0,787.0,24.0,3.92,3619.0,3619.0,-421.0,3904.0,4459.0,11775.0,3619.0,3804.0,4475.0,1856.0,0.0,0.0,0.0,17202.0,10578.0,9.0,207.0,2234.0,3221.0,54136.22,59.23,3559
2010-01-31,ADSK,AUTODESK INC,1379.6,2447.2,39.0,1473.5,1000.6,80.3,228.881,0.0,-52.1,0.0,0.0,0.0,111.5,290.8,0.0,6.8,0.25,58.0,716.0,,,704.0,973.7,58.0,246.8,134.8,101.6,0.0,0.0,0.0,1713.7,1473.5,0.0,,457.5,1387.1,5445.079,23.79,7370
2011-01-31,ADSK,AUTODESK INC,1714.3,2787.6,28.3,1609.3,1274.3,91.2,227.0,0.0,0.0,0.0,0.0,0.0,105.4,333.5,0.0,6.8,0.9,212.0,672.9,,,869.8,1178.3,212.0,540.8,282.2,84.5,0.0,0.0,0.0,1951.8,1609.3,0.0,0.0,496.2,1473.0,9234.36,40.68,7370
2012-01-31,ADSK,AUTODESK INC,1895.9,3227.8,63.0,1882.9,1411.3,113.6,225.9,0.0,0.0,0.0,0.0,0.0,115.5,369.5,0.0,7.5,1.22,285.3,831.2,,,954.1,1344.9,285.3,573.5,354.3,104.5,0.0,0.0,0.0,2215.6,1882.9,0.0,0.0,566.5,1632.2,8132.4,36.0,7370
2013-01-31,ADSK,AUTODESK INC,2552.4,4308.4,56.4,2043.2,1954.3,110.9,223.6,0.0,0.0,745.6,0.0,745.6,127.6,330.9,0.0,7.3,1.07,247.4,1015.7,,,1043.7,2265.2,247.4,559.1,349.8,114.9,0.0,0.0,0.0,2312.2,2043.2,0.0,,600.0,1723.9,8693.568,38.88,7370
2014-01-31,ADSK,AUTODESK INC,2835.0,4595.0,64.2,2261.5,2267.1,146.4,226.7,0.0,0.0,0.0,0.0,746.4,127.9,329.0,0.0,7.6,1.0,228.8,1114.2,,,1071.5,2333.5,228.8,563.5,297.6,130.3,0.0,0.0,0.0,2273.9,2261.5,0.0,,611.1,1702.0,11618.375,51.25,7370
2015-01-31,ADSK,AUTODESK INC,2671.3,4913.8,75.5,2219.2,2026.4,236.9,227.0,0.0,0.0,0.0,0.0,747.2,145.0,349.0,0.0,8.823,0.35,81.8,1628.1,,,1400.1,2694.6,81.8,708.1,123.8,159.2,0.0,0.0,0.0,2512.2,2219.2,0.0,,725.2,2006.5,12259.135,54.005,7370
2016-01-31,ADSK,AUTODESK INC,2993.1,5515.3,72.4,1619.6,2250.9,260.7,224.4,0.0,0.0,748.3,0.0,1487.7,143.2,380.9,0.0,9.5,-1.46,-330.5,1681.8,,,1591.0,3895.7,-330.5,414.0,1.3,169.3,0.0,0.0,0.0,2504.1,1619.6,67.7,,790.0,2098.9,10506.408,46.82,7370
2017-01-31,ADSK,AUTODESK INC,2460.6,4798.1,76.0,733.6,1899.9,228.4,220.3,398.7,0.0,0.0,0.0,1092.0,145.3,385.5,0.0,9.0,-2.61,-582.1,1658.6,,,2185.4,4064.5,-582.1,169.7,-419.1,158.6,0.0,0.0,0.0,2031.0,733.6,91.5,,766.1,2076.4,17919.202,81.34,7370
2018-01-31,ADSK,AUTODESK INC,1877.9,4113.6,50.7,-256.0,1323.2,219.4,218.3,0.0,,496.9,400.0,1586.0,104.2,437.0,0.0,8.8,-2.58,-566.9,1675.4,,0.0,2123.2,4369.6,-566.9,0.9,-393.6,145.0,0.0,0.0,0.0,2056.6,-256.0,66.6,,755.5,2126.6,25239.846,115.62,7370
2019-01-31,ADSK,AUTODESK INC,1620.0,4729.2,67.0,-210.9,953.6,211.2,219.4,0.0,0.0,500.0,0.0,2087.7,92.7,422.2,0.0,9.6,-0.37,-80.8,2731.6,0.0,0.0,2301.2,4940.1,-80.8,377.1,33.0,149.7,0.0,0.0,0.0,2569.8,-210.9,79.8,,725.0,2232.9,32295.68,147.2,7370
2020-01-31,ADSK,AUTODESK INC,2659.3,6179.3,53.2,-139.1,1843.7,238.6,219.4,497.8,,498.9,500.0,2046.8,124.7,415.0,0.0,10.1,0.96,214.5,2652.1,0.0,0.0,3219.2,6318.4,214.5,1415.1,366.8,600.5,0.0,0.0,0.0,3274.3,-139.1,82.5,,851.1,2544.2,43188.89,196.85,7370
2021-01-31,ADSK,AUTODESK INC,2699.2,7279.8,91.1,965.5,1857.2,252.6,219.6,71.4,,0.0,450.0,2033.2,121.3,442.7,0.0,11.5,5.44,1208.2,2905.8,0.0,0.0,3254.7,6314.3,1208.2,1437.2,650.6,609.5,0.0,0.0,0.0,3790.4,965.5,11.4,,932.5,2765.9,60923.628,277.43,7370
